Source,Category,Metric,Value
Generated,BLEU Score,Average,0.08658098142940673
Generated,BLEU Score,Max,0.23299898819244838
Generated,BLEU Score,Min,0.031346413447559854
Generated,ROUGE Score,Rouge-1,0.38475489725735446
Generated,ROUGE Score,Rouge-2,0.15268855320670288
Generated,ROUGE Score,Rouge-L,0.28143813467314654
Generated,Domain Term Coverage,Average Terms,2.9375
Generated,Domain Term Coverage,Term Density (%),10.486950156000747
Generated,Domain Term Coverage,Coverage Ratio,0.8150312278090031
Generated,Cognitive Assessment,Bloom's Distribution,"{'synthesis': 21.875, 'evaluation': 28.125, 'analysis': 31.25, 'application': 9.375, 'creation': 6.25, 'knowledge': 3.125}"
Generated,Question Diversity,Unique Topics,71
Generated,Question Diversity,Topic Coverage (%),88.75
Generated,Question Diversity,Internal Similarity,0.0636154402161638
ChatGPT,BLEU Score,Average,0.09977822910487052
ChatGPT,BLEU Score,Max,0.2722589423069702
ChatGPT,BLEU Score,Min,0.018688671660841403
ChatGPT,ROUGE Score,Rouge-1,0.36702641683649934
ChatGPT,ROUGE Score,Rouge-2,0.15648459016601815
ChatGPT,ROUGE Score,Rouge-L,0.31716634299810387
ChatGPT,Domain Term Coverage,Average Terms,2.3666666666666667
ChatGPT,Domain Term Coverage,Term Density (%),14.359045461027556
ChatGPT,Domain Term Coverage,Coverage Ratio,1.1159651069353045
ChatGPT,Cognitive Assessment,Bloom's Distribution,"{'remember': 10.0, 'understand': 16.666666666666664, 'apply': 20.0, 'analyze': 20.0, 'evaluate': 13.333333333333334, 'create': 20.0}"
ChatGPT,Question Diversity,Unique Topics,7
ChatGPT,Question Diversity,Topic Coverage (%),36.84210526315789
ChatGPT,Question Diversity,Internal Similarity,0.03957938598196271
